Paises;%TotalMuerte;hospital_beds_per_thousand;life_expectancy;human_development_index;%PIB
Uganda;0,000005;0,5;63,37;0,544;1,03
Mozambique;0,0000047;0,7;60,85;0,456;1,73
Rwanda;0,0000044;0;69,02;0,543;2,37
Benin;0,0000037;0,5;61,77;0,545;0,49
Burkina_Faso ;0,0000035;0,4;61,58;0,452;2,39
Niger;0,0000034;0,3;62,42;0,394;2,43
China;0,0000033;4,34;76,91;0,761;3,02
Fiji;0,0000022;2,3;67,44;0,743;2,34
Thailand;0,0000009;2,1;77,15;0,777;2,89
Papua_New_Guinea ;0,0000009;0;64,5;0,555;1,66
Vietnam ;0,0000004;2,6;75,4;0,704;2,7
United_Republic_of_Tanzania ;0,0000004;0,7;65,46;0,529;1,56
Burundi;0,0000001;0,8;61,58;0,433;1,9
Seychelles;0;3,6;73,4;0,796;3,81
Grenada;0;3,7;72,4;0,779;1,71
Saint_Kitts_and_Nevis ;0;2,3;76,23;0,779;2,47
Dominica;0;3,8;75;0,742;4,27
Saint_Vincent_and_the_Grenadines ;0;2,6;72,53;0,738;3,05
Mongolia;0;7;69,87;0,737;2,22
Marshall_Islands ;0;2,7;73,7;0,704;7,62
Bhutan;0;1,7;71,78;0,654;2,43
Laos;0;1,5;67,92;0,613;0
Vanuatu;0;0;70,47;0,609;2,14
Timor_Leste ;0;5,9;69,5;0,606;2,62
Cambodia;0;0,8;69,82;0,594;1,28
Islas_Salomón ;0;1,4;73;0,567;3,54
Eritrea;0;0,7;66,32;0,459;0,64
República_Dominicana ;0,00000061;1,6;74,08;0,756;0,5
